"","x"
"1",8
"2",2
"3",43
"4",43
"5",0
"6",2
"7",8
"8",2
"9",6
"10",6
"11",33
"12",11
"13",6
"14",5
"15",0
"16",5
"17",4
"18",6
"19",5
"20",2
"21",16
"22",1
"23",7
"24",7
